1,03:01.28000
2,04:56.39600
3,03:11.44300
4,02:36.11300
5,05:11.51600
6,06:42.40600
7,06:06.76000
8,04:46.25000
9,04:06.92000
12,03:26.57600
13,06:37.25300
14,03:40.44600
17,03:26.63300
18,04:41.17000
19,01:15.40600
20,04:06.75000
